2026-03-20 09:41:12,632 | INFO | __main__ | Логгер запущен
2026-03-24 14:21:54,767 | INFO | src.pipeline_retrieval | Шаг 2: Поиск по косиносному расстоянию ближайших чанков
2026-03-24 14:22:10,347 | INFO | src.indexing.vector_store | Получено результатов из БД: 50
2026-03-24 14:22:10,349 | INFO | src.indexing.vector_store | Сформировано чанков: 50
2026-03-24 14:22:10,349 | INFO | src.indexing.vector_store | После parse_search_results получено чанков: 50
2026-03-24 14:22:10,351 | ERROR | src.core.config | Ошибка при выполнении функции 'run' за 15.7979 секунд. Ошибка: query должен быть непустой строкой.
Traceback (most recent call last):
  File "c:\Users\46120\Desktop\RAG\src\core\config.py", line 66, in wrapper
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\pipeline_retrieval.py", line 61, in run
    reranked_chunks = self.reranker.rerank_chunks(query, chunks, top_k=5)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\retrieval\reranker.py", line 28, in rerank_chunks
    raise ValueError("query должен быть непустой строкой.")
ValueError: query должен быть непустой строкой.
2026-03-24 14:24:04,966 | INFO | __main__ | Логгер запущен
2026-03-24 14:24:04,987 | INFO | src.retrieval.reranker | Загрузка reranker-модели: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-03-24 14:24:08,247 | INFO | src.pipeline_retrieval | Шаг 1: Формирование запроса в базу данных.
2026-03-24 14:24:08,469 | INFO | src.pipeline_retrieval | Эмбеддинг запроса [-0.026682803, 0.082598075, -0.043828573, 0.0032780687, -0.03221728, -0.105505355, 0.030748961, -0.040863503, -0.09622774, -0.018758807, 0.11203036, -0.00046068238, 0.044161696, -0.012632133, -0.008058938, -0.046306785, -0.010473429, -0.013337891, -0.010343149, -0.06005518, 0.006710101, 0.050323423, 0.04313287, 0.023973413, -0.034417577, 0.034165423, -0.011820491, 0.037193716, 0.02814593, -0.033623636, -0.010545432, 0.04120195, 0.15505955, -0.025183698, 0.06378353, 0.05164005, 0.030844444, -0.07452135, 0.0031341873, -0.012744479, 0.008606238, -0.050572284, -0.04284735, 0.0030959775, -0.053512912, 0.0067687235, -0.15144132, 0.06443844, 0.031746425, 0.043500036, -0.050114635, -0.059123963, -0.041363325, -0.08446159, 0.1032671, 0.026469883, 0.030812753, 0.049987603, 0.0021212406, -0.04514743, -0.10815058, 0.014380258, -0.06767485, 0.024412686, 0.13272913, -0.02307316, -0.034286253, 0.07634221, -0.10284412, -0.04085795, -0.0885908, -0.008932613, -0.013754627, 0.04020935, -0.044504788, -0.03585175, 0.0037808917, -0.041019883, -0.037546724, 0.037505776, 0.031709373, 0.00052262505, 0.002747463, 0.069539405, 0.007942974, 0.016738815, -0.02987499, -0.009650962, 0.0020669508, -0.039838936, -0.06427254, -0.058861658, -0.0027217786, 0.043637324, -0.072879955, 0.05138631, 0.070152745, -0.06540255, -0.09927524, 0.097187646, 0.0070273546, 0.01458888, 0.07859303, -0.008968573, 0.049164534, -0.024462, -0.044956926, 0.006929116, 0.01633328, -0.059643123, -0.036363408, -0.021128668, 0.0103226025, -0.07364575, 0.07663352, -0.09627662, -0.0097442055, -0.015301029, 0.044780303, -0.0004707982, 0.031011058, -0.041937172, -0.06163688, 0.024167055, -0.056394152, 0.022629574, 0.07318546, -4.9096524e-33, 0.07564459, -0.007282428, 0.04243834, 0.10873525, 0.06924658, 0.021026833, -0.033403575, -0.031802826, -0.034185003, -0.0017630854, -0.02788899, 0.02655483, 0.019737335, 0.06887938, 0.027147392, 0.013313225, 0.021844856, 0.039687652, -0.0814815, 0.10077768, -0.027123997, -0.013843763, 0.055102274, -0.024523927, 0.0019468645, 0.065615274, 0.004787329, -0.08245013, 0.025842918, 0.021650236, 0.043623384, -0.03989111, -0.012314901, -0.05241711, -0.028705206, 0.0042865244, -0.007474889, -0.056550995, -0.07678243, -0.0033511338, -0.12833345, 0.03630274, 0.028529137, -0.0052454006, 0.043836407, 0.021886561, -0.042099193, 0.023198487, 0.0419387, 0.08869321, -0.01506778, -0.004204228, -0.06350354, 0.033898283, 0.00053731736, -0.04420976, 0.072644055, 0.00541794, -0.013611005, -0.010888406, 0.036003254, 0.09710916, 0.037954465, 0.078621894, 0.021297883, 0.0038663163, 0.016176721, 0.0031335994, 0.00038055648, 0.026883991, -0.04845001, -0.009223018, 0.038239997, 0.04951715, -0.013138652, 0.0971148, 0.094797686, -0.06430456, -0.01187397, -0.05387219, -0.007966805, 0.05961872, -0.047017816, -0.04881789, 0.09634744, -0.024517784, -0.023072613, -0.09878273, 0.0020695142, 0.048939213, -0.11928525, -0.022133797, 0.047759634, -0.05301378, -0.06675381, 2.1697811e-33, 0.09803344, 0.014532967, -0.0478007, -0.06861593, -0.09678546, -0.042425666, 0.032229528, 0.09937469, -0.04817995, 0.041256, 0.0009869654, 0.014750089, 0.08199876, 0.019885205, 0.091235444, -0.05950038, 0.06835654, 0.06487414, 0.017046098, -0.021831486, 0.0038721066, -0.106163196, -0.03829288, 0.06340002, 0.053517006, 0.013140197, 0.0387705, -0.017913522, -0.04208181, 0.046689954, -0.01489872, 0.01599404, 0.022584405, 0.09307301, 0.017340496, 0.029753068, -0.0202185, -0.01411701, 0.019575717, -0.04498234, 0.008709937, 0.0143944835, -0.034601677, 0.04972789, -0.040703997, -0.03691901, -0.08375048, -0.000688352, -0.006697211, 0.008912528, 0.027179549, -0.06525773, 0.036169276, -0.06157788, -0.08173172, -0.01203477, -0.05175784, -0.002362781, -0.053089675, 0.026363468, -0.015016522, -0.015276419, -0.02922281, 0.006129605, -0.06937377, -0.041784324, 0.012976788, 0.067691594, 0.00857052, -0.038446132, -0.014595235, 0.029424313, -0.03342482, -0.00436916, -0.025428917, 0.10107646, -0.037020955, 0.016320031, -0.05601732, 0.05903809, 0.05359761, 0.025986247, -0.02103869, 0.0071488507, 0.053515416, 0.0178681, 0.003937443, 0.012852501, -0.033169713, -0.039603043, 0.05862224, 0.11736179, 0.021952718, 0.061986204, -0.033936825, -1.4736859e-08, -0.05918396, -0.029159607, 0.047355883, -0.03944474, 0.030167527, 0.012559971, 0.04727174, -0.1572687, -0.05734643, 0.042863376, 0.034964867, -0.046895683, -0.06372862, -0.034563333, 0.058667842, 0.06612076, 0.03472608, -0.032939438, -0.03552941, 0.0020948625, 0.00828661, 0.004785909, 0.03365804, -0.053631127, -0.09153582, -0.09594298, 0.029433835, -0.02253142, -0.012276547, -0.12398181, 0.049850777, 0.06838366, -0.02378392, 0.03456971, -0.021045273, -0.009808336, 0.023709143, -3.535543e-05, 0.02047182, -0.01106289, -0.047260128, 0.06953402, -0.04882393, -0.06451521, 0.010951699, -0.00687555, 0.14504667, -0.06804549, -0.02934067, -0.023120742, -0.014106154, 0.013311088, 0.10137427, 0.007615626, 0.051404327, 0.054215096, -0.018224338, 0.015695501, 0.024323504, 0.11138577, 0.007253526, 0.017854264, 0.059195284, 0.008720299].
2026-03-24 14:24:08,471 | INFO | src.pipeline_retrieval | Шаг 2: Поиск по косиносному расстоянию ближайших чанков
2026-03-24 14:24:24,125 | INFO | src.indexing.vector_store | Получено результатов из БД: 50
2026-03-24 14:24:24,126 | INFO | src.indexing.vector_store | Сформировано чанков: 50
2026-03-24 14:24:24,127 | INFO | src.indexing.vector_store | После parse_search_results получено чанков: 50
2026-03-24 14:24:24,128 | INFO | src.pipeline_retrieval | Шаг 3: Получение лучшего чанка документа
2026-03-24 14:24:24,128 | ERROR | src.core.config | Ошибка при выполнении функции 'run' за 15.8816 секунд. Ошибка: query должен быть непустой строкой.
Traceback (most recent call last):
  File "c:\Users\46120\Desktop\RAG\src\core\config.py", line 66, in wrapper
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\pipeline_retrieval.py", line 61, in run
    reranked_chunks = self.reranker.rerank_chunks(query_embedding, chunks, top_k=5)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\retrieval\reranker.py", line 28, in rerank_chunks
    raise ValueError("query должен быть непустой строкой.")
ValueError: query должен быть непустой строкой.
2026-03-24 14:26:29,120 | INFO | __main__ | Логгер запущен
2026-03-24 14:26:29,154 | INFO | src.retrieval.reranker | Загрузка reranker-модели: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-03-24 14:26:31,783 | INFO | src.pipeline_retrieval | Шаг 1: Формирование запроса в базу данных.
2026-03-24 14:26:32,134 | INFO | src.pipeline_retrieval | Эмбеддинг запроса [-0.026682803, 0.082598075, -0.043828573, 0.0032780687, -0.03221728, -0.105505355, 0.030748961, -0.040863503, -0.09622774, -0.018758807, 0.11203036, -0.00046068238, 0.044161696, -0.012632133, -0.008058938, -0.046306785, -0.010473429, -0.013337891, -0.010343149, -0.06005518, 0.006710101, 0.050323423, 0.04313287, 0.023973413, -0.034417577, 0.034165423, -0.011820491, 0.037193716, 0.02814593, -0.033623636, -0.010545432, 0.04120195, 0.15505955, -0.025183698, 0.06378353, 0.05164005, 0.030844444, -0.07452135, 0.0031341873, -0.012744479, 0.008606238, -0.050572284, -0.04284735, 0.0030959775, -0.053512912, 0.0067687235, -0.15144132, 0.06443844, 0.031746425, 0.043500036, -0.050114635, -0.059123963, -0.041363325, -0.08446159, 0.1032671, 0.026469883, 0.030812753, 0.049987603, 0.0021212406, -0.04514743, -0.10815058, 0.014380258, -0.06767485, 0.024412686, 0.13272913, -0.02307316, -0.034286253, 0.07634221, -0.10284412, -0.04085795, -0.0885908, -0.008932613, -0.013754627, 0.04020935, -0.044504788, -0.03585175, 0.0037808917, -0.041019883, -0.037546724, 0.037505776, 0.031709373, 0.00052262505, 0.002747463, 0.069539405, 0.007942974, 0.016738815, -0.02987499, -0.009650962, 0.0020669508, -0.039838936, -0.06427254, -0.058861658, -0.0027217786, 0.043637324, -0.072879955, 0.05138631, 0.070152745, -0.06540255, -0.09927524, 0.097187646, 0.0070273546, 0.01458888, 0.07859303, -0.008968573, 0.049164534, -0.024462, -0.044956926, 0.006929116, 0.01633328, -0.059643123, -0.036363408, -0.021128668, 0.0103226025, -0.07364575, 0.07663352, -0.09627662, -0.0097442055, -0.015301029, 0.044780303, -0.0004707982, 0.031011058, -0.041937172, -0.06163688, 0.024167055, -0.056394152, 0.022629574, 0.07318546, -4.9096524e-33, 0.07564459, -0.007282428, 0.04243834, 0.10873525, 0.06924658, 0.021026833, -0.033403575, -0.031802826, -0.034185003, -0.0017630854, -0.02788899, 0.02655483, 0.019737335, 0.06887938, 0.027147392, 0.013313225, 0.021844856, 0.039687652, -0.0814815, 0.10077768, -0.027123997, -0.013843763, 0.055102274, -0.024523927, 0.0019468645, 0.065615274, 0.004787329, -0.08245013, 0.025842918, 0.021650236, 0.043623384, -0.03989111, -0.012314901, -0.05241711, -0.028705206, 0.0042865244, -0.007474889, -0.056550995, -0.07678243, -0.0033511338, -0.12833345, 0.03630274, 0.028529137, -0.0052454006, 0.043836407, 0.021886561, -0.042099193, 0.023198487, 0.0419387, 0.08869321, -0.01506778, -0.004204228, -0.06350354, 0.033898283, 0.00053731736, -0.04420976, 0.072644055, 0.00541794, -0.013611005, -0.010888406, 0.036003254, 0.09710916, 0.037954465, 0.078621894, 0.021297883, 0.0038663163, 0.016176721, 0.0031335994, 0.00038055648, 0.026883991, -0.04845001, -0.009223018, 0.038239997, 0.04951715, -0.013138652, 0.0971148, 0.094797686, -0.06430456, -0.01187397, -0.05387219, -0.007966805, 0.05961872, -0.047017816, -0.04881789, 0.09634744, -0.024517784, -0.023072613, -0.09878273, 0.0020695142, 0.048939213, -0.11928525, -0.022133797, 0.047759634, -0.05301378, -0.06675381, 2.1697811e-33, 0.09803344, 0.014532967, -0.0478007, -0.06861593, -0.09678546, -0.042425666, 0.032229528, 0.09937469, -0.04817995, 0.041256, 0.0009869654, 0.014750089, 0.08199876, 0.019885205, 0.091235444, -0.05950038, 0.06835654, 0.06487414, 0.017046098, -0.021831486, 0.0038721066, -0.106163196, -0.03829288, 0.06340002, 0.053517006, 0.013140197, 0.0387705, -0.017913522, -0.04208181, 0.046689954, -0.01489872, 0.01599404, 0.022584405, 0.09307301, 0.017340496, 0.029753068, -0.0202185, -0.01411701, 0.019575717, -0.04498234, 0.008709937, 0.0143944835, -0.034601677, 0.04972789, -0.040703997, -0.03691901, -0.08375048, -0.000688352, -0.006697211, 0.008912528, 0.027179549, -0.06525773, 0.036169276, -0.06157788, -0.08173172, -0.01203477, -0.05175784, -0.002362781, -0.053089675, 0.026363468, -0.015016522, -0.015276419, -0.02922281, 0.006129605, -0.06937377, -0.041784324, 0.012976788, 0.067691594, 0.00857052, -0.038446132, -0.014595235, 0.029424313, -0.03342482, -0.00436916, -0.025428917, 0.10107646, -0.037020955, 0.016320031, -0.05601732, 0.05903809, 0.05359761, 0.025986247, -0.02103869, 0.0071488507, 0.053515416, 0.0178681, 0.003937443, 0.012852501, -0.033169713, -0.039603043, 0.05862224, 0.11736179, 0.021952718, 0.061986204, -0.033936825, -1.4736859e-08, -0.05918396, -0.029159607, 0.047355883, -0.03944474, 0.030167527, 0.012559971, 0.04727174, -0.1572687, -0.05734643, 0.042863376, 0.034964867, -0.046895683, -0.06372862, -0.034563333, 0.058667842, 0.06612076, 0.03472608, -0.032939438, -0.03552941, 0.0020948625, 0.00828661, 0.004785909, 0.03365804, -0.053631127, -0.09153582, -0.09594298, 0.029433835, -0.02253142, -0.012276547, -0.12398181, 0.049850777, 0.06838366, -0.02378392, 0.03456971, -0.021045273, -0.009808336, 0.023709143, -3.535543e-05, 0.02047182, -0.01106289, -0.047260128, 0.06953402, -0.04882393, -0.06451521, 0.010951699, -0.00687555, 0.14504667, -0.06804549, -0.02934067, -0.023120742, -0.014106154, 0.013311088, 0.10137427, 0.007615626, 0.051404327, 0.054215096, -0.018224338, 0.015695501, 0.024323504, 0.11138577, 0.007253526, 0.017854264, 0.059195284, 0.008720299].
2026-03-24 14:26:32,136 | INFO | src.pipeline_retrieval | Шаг 2: Поиск по косиносному расстоянию ближайших чанков
2026-03-24 14:26:47,810 | INFO | src.indexing.vector_store | Получено результатов из БД: 50
2026-03-24 14:26:47,811 | INFO | src.indexing.vector_store | Сформировано чанков: 50
2026-03-24 14:26:47,811 | INFO | src.indexing.vector_store | После parse_search_results получено чанков: 50
2026-03-24 14:26:47,812 | INFO | src.pipeline_retrieval | После preprocess: 50 строк
2026-03-24 14:26:47,813 | INFO | src.pipeline_retrieval | Шаг 3: Получение лучшего чанка документа
2026-03-24 14:26:47,814 | ERROR | src.core.config | Ошибка при выполнении функции 'run' за 16.0309 секунд. Ошибка: query должен быть непустой строкой.
Traceback (most recent call last):
  File "c:\Users\46120\Desktop\RAG\src\core\config.py", line 66, in wrapper
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\pipeline_retrieval.py", line 61, in run
    reranked_chunks = self.reranker.rerank_chunks(query_embedding, chunks, top_k=5)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\retrieval\reranker.py", line 27, in rerank_chunks
    raise ValueError("query должен быть непустой строкой.")
ValueError: query должен быть непустой строкой.
2026-03-24 14:28:07,019 | INFO | __main__ | Логгер запущен
2026-03-24 14:28:07,033 | INFO | src.retrieval.reranker | Загрузка reranker-модели: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-03-24 14:28:09,635 | INFO | src.pipeline_retrieval | Шаг 1: Формирование запроса в базу данных.
2026-03-24 14:28:09,849 | INFO | src.pipeline_retrieval | Эмбеддинг запроса [-0.026682803, 0.082598075, -0.043828573, 0.0032780687, -0.03221728, -0.105505355, 0.030748961, -0.040863503, -0.09622774, -0.018758807, 0.11203036, -0.00046068238, 0.044161696, -0.012632133, -0.008058938, -0.046306785, -0.010473429, -0.013337891, -0.010343149, -0.06005518, 0.006710101, 0.050323423, 0.04313287, 0.023973413, -0.034417577, 0.034165423, -0.011820491, 0.037193716, 0.02814593, -0.033623636, -0.010545432, 0.04120195, 0.15505955, -0.025183698, 0.06378353, 0.05164005, 0.030844444, -0.07452135, 0.0031341873, -0.012744479, 0.008606238, -0.050572284, -0.04284735, 0.0030959775, -0.053512912, 0.0067687235, -0.15144132, 0.06443844, 0.031746425, 0.043500036, -0.050114635, -0.059123963, -0.041363325, -0.08446159, 0.1032671, 0.026469883, 0.030812753, 0.049987603, 0.0021212406, -0.04514743, -0.10815058, 0.014380258, -0.06767485, 0.024412686, 0.13272913, -0.02307316, -0.034286253, 0.07634221, -0.10284412, -0.04085795, -0.0885908, -0.008932613, -0.013754627, 0.04020935, -0.044504788, -0.03585175, 0.0037808917, -0.041019883, -0.037546724, 0.037505776, 0.031709373, 0.00052262505, 0.002747463, 0.069539405, 0.007942974, 0.016738815, -0.02987499, -0.009650962, 0.0020669508, -0.039838936, -0.06427254, -0.058861658, -0.0027217786, 0.043637324, -0.072879955, 0.05138631, 0.070152745, -0.06540255, -0.09927524, 0.097187646, 0.0070273546, 0.01458888, 0.07859303, -0.008968573, 0.049164534, -0.024462, -0.044956926, 0.006929116, 0.01633328, -0.059643123, -0.036363408, -0.021128668, 0.0103226025, -0.07364575, 0.07663352, -0.09627662, -0.0097442055, -0.015301029, 0.044780303, -0.0004707982, 0.031011058, -0.041937172, -0.06163688, 0.024167055, -0.056394152, 0.022629574, 0.07318546, -4.9096524e-33, 0.07564459, -0.007282428, 0.04243834, 0.10873525, 0.06924658, 0.021026833, -0.033403575, -0.031802826, -0.034185003, -0.0017630854, -0.02788899, 0.02655483, 0.019737335, 0.06887938, 0.027147392, 0.013313225, 0.021844856, 0.039687652, -0.0814815, 0.10077768, -0.027123997, -0.013843763, 0.055102274, -0.024523927, 0.0019468645, 0.065615274, 0.004787329, -0.08245013, 0.025842918, 0.021650236, 0.043623384, -0.03989111, -0.012314901, -0.05241711, -0.028705206, 0.0042865244, -0.007474889, -0.056550995, -0.07678243, -0.0033511338, -0.12833345, 0.03630274, 0.028529137, -0.0052454006, 0.043836407, 0.021886561, -0.042099193, 0.023198487, 0.0419387, 0.08869321, -0.01506778, -0.004204228, -0.06350354, 0.033898283, 0.00053731736, -0.04420976, 0.072644055, 0.00541794, -0.013611005, -0.010888406, 0.036003254, 0.09710916, 0.037954465, 0.078621894, 0.021297883, 0.0038663163, 0.016176721, 0.0031335994, 0.00038055648, 0.026883991, -0.04845001, -0.009223018, 0.038239997, 0.04951715, -0.013138652, 0.0971148, 0.094797686, -0.06430456, -0.01187397, -0.05387219, -0.007966805, 0.05961872, -0.047017816, -0.04881789, 0.09634744, -0.024517784, -0.023072613, -0.09878273, 0.0020695142, 0.048939213, -0.11928525, -0.022133797, 0.047759634, -0.05301378, -0.06675381, 2.1697811e-33, 0.09803344, 0.014532967, -0.0478007, -0.06861593, -0.09678546, -0.042425666, 0.032229528, 0.09937469, -0.04817995, 0.041256, 0.0009869654, 0.014750089, 0.08199876, 0.019885205, 0.091235444, -0.05950038, 0.06835654, 0.06487414, 0.017046098, -0.021831486, 0.0038721066, -0.106163196, -0.03829288, 0.06340002, 0.053517006, 0.013140197, 0.0387705, -0.017913522, -0.04208181, 0.046689954, -0.01489872, 0.01599404, 0.022584405, 0.09307301, 0.017340496, 0.029753068, -0.0202185, -0.01411701, 0.019575717, -0.04498234, 0.008709937, 0.0143944835, -0.034601677, 0.04972789, -0.040703997, -0.03691901, -0.08375048, -0.000688352, -0.006697211, 0.008912528, 0.027179549, -0.06525773, 0.036169276, -0.06157788, -0.08173172, -0.01203477, -0.05175784, -0.002362781, -0.053089675, 0.026363468, -0.015016522, -0.015276419, -0.02922281, 0.006129605, -0.06937377, -0.041784324, 0.012976788, 0.067691594, 0.00857052, -0.038446132, -0.014595235, 0.029424313, -0.03342482, -0.00436916, -0.025428917, 0.10107646, -0.037020955, 0.016320031, -0.05601732, 0.05903809, 0.05359761, 0.025986247, -0.02103869, 0.0071488507, 0.053515416, 0.0178681, 0.003937443, 0.012852501, -0.033169713, -0.039603043, 0.05862224, 0.11736179, 0.021952718, 0.061986204, -0.033936825, -1.4736859e-08, -0.05918396, -0.029159607, 0.047355883, -0.03944474, 0.030167527, 0.012559971, 0.04727174, -0.1572687, -0.05734643, 0.042863376, 0.034964867, -0.046895683, -0.06372862, -0.034563333, 0.058667842, 0.06612076, 0.03472608, -0.032939438, -0.03552941, 0.0020948625, 0.00828661, 0.004785909, 0.03365804, -0.053631127, -0.09153582, -0.09594298, 0.029433835, -0.02253142, -0.012276547, -0.12398181, 0.049850777, 0.06838366, -0.02378392, 0.03456971, -0.021045273, -0.009808336, 0.023709143, -3.535543e-05, 0.02047182, -0.01106289, -0.047260128, 0.06953402, -0.04882393, -0.06451521, 0.010951699, -0.00687555, 0.14504667, -0.06804549, -0.02934067, -0.023120742, -0.014106154, 0.013311088, 0.10137427, 0.007615626, 0.051404327, 0.054215096, -0.018224338, 0.015695501, 0.024323504, 0.11138577, 0.007253526, 0.017854264, 0.059195284, 0.008720299].
2026-03-24 14:28:09,852 | INFO | src.pipeline_retrieval | Шаг 2: Поиск по косиносному расстоянию ближайших чанков
2026-03-24 14:28:25,407 | INFO | src.indexing.vector_store | Получено результатов из БД: 50
2026-03-24 14:28:25,409 | INFO | src.indexing.vector_store | Сформировано чанков: 50
2026-03-24 14:28:25,410 | INFO | src.indexing.vector_store | После parse_search_results получено чанков: 50
2026-03-24 14:28:25,411 | INFO | src.pipeline_retrieval | После preprocess: 50 строк
2026-03-24 14:28:25,411 | INFO | src.pipeline_retrieval | Шаг 3: Получение лучшего чанка документа
2026-03-24 14:28:25,412 | ERROR | src.core.config | Ошибка при выполнении функции 'run' за 15.7756 секунд. Ошибка: list indices must be integers or slices, not str
Traceback (most recent call last):
  File "c:\Users\46120\Desktop\RAG\src\core\config.py", line 66, in wrapper
    result = func(*args, **kwargs)
             ^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\pipeline_retrieval.py", line 61, in run
    reranked_chunks = self.reranker.rerank_chunks(query_embedding, chunks, top_k=5)
                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "c:\Users\46120\Desktop\RAG\src\retrieval\reranker.py", line 33, in rerank_chunks
    pairs = [(query, chunks[Columns.CHUNK_TEXT.value]) for chunk in chunks]
                     ~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: list indices must be integers or slices, not str
2026-03-24 14:31:08,882 | INFO | __main__ | Логгер запущен
2026-03-24 14:31:08,900 | INFO | src.retrieval.reranker | Загрузка reranker-модели: cross-encoder/ms-marco-MiniLM-L-6-v2
2026-03-24 14:31:11,770 | INFO | src.pipeline_retrieval | Шаг 1: Формирование запроса в базу данных.
